cod_familiar;faixa_renda;loteamento;qtd_pessoas;renda_total_declarada;renda_per_capita
8097306263;5 a 10 SM;JARDIM SAO BENTO;4.0;10760;2690.0
8711400200;5 a 10 SM;JARDIM SANTIAGO;3.0;8070;2690.0
6991806781;5 a 10 SM;JARDIM NOVO ESTRELA;3.0;8067;2689.0
8092568430;5 a 10 SM;JARDIM AMANDA;4.0;10744;2686.0
8121305888;5 a 10 SM;JARDIM BOA ESPERANCA;3.0;8046;2682.0
8751626659;5 a 10 SM;JARDIM SAO SEBASTIAO;3.0;8046;2682.0
7743405419;5 a 10 SM;JARDIM SANTA ESMERALDA;4.0;10680;2670.0
20130737984;5 a 10 SM;JARDIM AMANDA I;3.0;8001;2667.0
6303819923;5 a 10 SM;PARQUE ORESTES ONGARO;3.0;7998;2666.0
7725499741;5 a 10 SM;JARDIM AMANDA;5.0;13320;2664.0
6942434183;5 a 10 SM;JARDIM SANTA RITA DE CASSIA;3.0;7986;2662.0
8387722189;5 a 10 SM;JARDIM SANTA CLARA DO LAGO I;4.0;10636;2659.0
8589649296;5 a 10 SM;JARDIM NOVA AMERICA;4.0;10596;2649.0
1383760934;5 a 10 SM;JARDIM AMANDA;4.0;10584;2646.0
7766267101;5 a 10 SM;JARDIM AMANDA;3.0;7938;2646.0
8211841487;5 a 10 SM;VILA INEMA;3.0;7935;2645.0
7669052503;5 a 10 SM;JARDIM NOVA AMERICA;5.0;13215;2643.0
20310284724;5 a 10 SM;PARQUE TERRAS DE SANTA MARIA;4.0;10532;2633.0
7156716344;5 a 10 SM;JARDIM AMANDA;3.0;7869;2623.0
8218890793;5 a 10 SM;JARDIM AMANDA 2;3.0;7869;2623.0
5453985682;5 a 10 SM;JARDIM AMANDA;3.0;7860;2620.0
6556566772;5 a 10 SM;JARDIM NOSSA SENHORA DE FATIMA;4.0;10456;2614.0
6978798010;5 a 10 SM;REMANSO CAMPINEIRO;5.0;13045;2609.0
8580289211;5 a 10 SM;JARDIM SANTANA;3.0;7806;2602.0
5231161101;5 a 10 SM;JARDIM RESIDENCIAL FIRENZE;4.0;10384;2596.0
7468755841;5 a 10 SM;VILA SAO FRANCISCO;3.0;7773;2591.0
7625079260;5 a 10 SM;JARDIM INTERLAGOS;4.0;10356;2589.0
1584333430;5 a 10 SM;JARDIM NOVO ANGULO;3.0;7764;2588.0
7066559312;5 a 10 SM;JARDIM SAO JORGE;4.0;10323;2580.75
8166854600;5 a 10 SM;JARDIM AMANDA;4.0;10316;2579.0
8087927680;5 a 10 SM;JARDIM INTERLAGOS;3.0;7734;2578.0
7511519121;5 a 10 SM;JARDIM ADELAIDE;3.0;7731;2577.0
6156789987;5 a 10 SM;JARDIM SANTA ESMERALDA;4.0;10284;2571.0
7238220776;5 a 10 SM;JARDIM AMANDA;3.0;7710;2570.0
20143599038;5 a 10 SM;JARDIM SUMAREZINHO;3.0;7710;2570.0
8796186984;5 a 10 SM;JARDIM DO BOSQUE;3.0;7692;2564.0
7048049561;5 a 10 SM;JARDIM SANTA CLARA DO LAGO;3.0;7683;2561.0
8237720202;5 a 10 SM;JARDIM AMANDA I;4.0;10230;2557.5
8652682666;5 a 10 SM;JARDIM AMANDA 2;5.0;12730;2546.0
8126632925;5 a 10 SM;JARDIM AMANDA;3.0;7626;2542.0
2721756176;5 a 10 SM;JARDIM BOA ESPERANCA;3.0;7596;2532.0
7939857657;5 a 10 SM;NOVO ANGULO;3.0;7592;2530.67
6356082518;5 a 10 SM;JARDIM NOVO CAMBUI;6.0;15108;2518.0
6379228675;5 a 10 SM;VILA REAL;4.0;10012;2503.0
8512524278;5 a 10 SM;JARDIM DO LAGO;5.0;12490;2498.0
8438737951;5 a 10 SM;JARDIM MALTA;4.0;9864;2466.0
7715945501;5 a 10 SM;JARDIM INTERLAGOS;4.0;9848;2462.0
6288353965;5 a 10 SM;JARDIM NOVA HORTOLANDIA;4.0;9796;2449.0
8565829138;5 a 10 SM;PARQUE ORESTE ONGARO;5.0;12245;2449.0
6962439890;5 a 10 SM;NOVA AMERICA;4.0;9760;2440.0
8570782241;5 a 10 SM;JARDIM NOVA EUROPA;4.0;9752;2438.0
7900026550;5 a 10 SM;JARDIM SAO BENEDITO;4.0;9732;2433.0
6863388553;5 a 10 SM;CHACARA FAZENDA COELHO;4.0;9652;2413.0
8466149600;5 a 10 SM;JARDIM GHIRALDELLI;4.0;9652;2413.0
